Division,AP Address,COORDINATES,Property type,Property detail/name,Additional AP Details,Status,Active,In Laser zone?,Date est. as AP in database,Time Period as AP,Same as prev. yr?,Date of document,Alleged activity,Calls for service,% of Divsion Total CFS,Alleged Violent Crime during TP,Division VC Total,% of Division Total Alleged VC,SLO,Police Activity,RD,Basic Car #,Side (of street),Arc_Zone,Additional info. provided,Additional notes ,Additional notes ,Source-Doc title,Additional Source,Additional Source,Additional Source
Southeast,93rd ST/CENTRAL,"33.95178068307833, -118.25547703045986",Intersection,,,,FOCUS: S/E/C,NO,N/A,4/27/17-08/13/17,,2017,,,,,,,,METRO: PRETEXT STOPS FI's PED STOPS PAPER PLATES HIGH VISIBILITY FOOTBEATS,,,,,METRO MAP priority revised 05-31-17.pdf,LASER Weekly Hot Spot Map June 05 -June 11.pdf,,,,,
Southeast,Vermont Ave & Manchester,"33.959965287860264, -118.29162325929627",Intersection/small businesses,"pawn shop, nail shop, other misc. businesses & a bus stop",,,S/E/C,need to check to see if in laser zone or not ,6/21/17,,Yes,2018,"""the stop on the corner of Manchester & Vermont whereas roberies and chain snatches classified as thefts""",,,,,,Muther,,1801,,,doc titled 2018 AP synopsis but info within it is from 06/2017,SOE 2018 ANCHOR_POINTS.pdf,2018 ANCHOR POINT SYNOPSIS.pdf,,,,,
Southeast,Imperial Hwy & Figueroa,"33.930957373322286, -118.28262518813338",Intersection/small businesses,N/E Corner-Chevron gas station; N/W corner: McDonalds; S/w corner: check cashing; S/E corner: Jack-N-the Box,,,,NO,6/28/17,,Yes,2018,"""historical problems include robberies, agg. assaults, prostitution & narcotic activity""",,,,,,Martinez & Gutierrez,,1841; 1842; 1861; 1862,,,doc titled 2018 AP synopsis but info within it is from 06/2017,SOE 2018 ANCHOR_POINTS.pdf,2018 ANCHOR POINT SYNOPSIS.pdf,,,,,
Southeast,Avalon Bl & Imperial Hwy,"33.93100656788037, -118.26515594395059",Intersection/small businesses,Businesses on all 4 corners including Subway; Donut Shop; 7-11; other misc. businesses; 2 mini malls on N/E & N/W corners,,,,need to check to see if in laser zone or not ,6/28/17,,Yes,2018,"""location established as AP due to high volume of crime, specifcially robberiesm thefts, narcotic activity, & gun possession arrest; additionally, there is a high volume of prostittution activity",,,,,,Stewart & Pinzon,,1844; 1863,,,doc titled 2018 AP synopsis but info within it is from 06/2017,SOE 2018 ANCHOR_POINTS.pdf,2018 ANCHOR POINT SYNOPSIS.pdf,,,,,
Southeast,Broadway & Century B; 304 Century BLVD,"33.94555809019406, -118.27838032118048",Intersection; restuarant,Burger King & bus stop,,,S/W/C,need to check to see if in laser zone or not ,7/25/2017,,New ,2018,"""recent robberies inside & out of Burger King. Also street robberies at bus stop. increase of transcient/homeless pop. two criminal street gangs in the immediate area are main st mafia and 97 gangster crips ",,,,,,Hamaoka,,1822,,,"new AP that doesnt appear in 2017 docs but per ""2018 anchor point snyposis"" was eastblished as AP on 7/25/17",SOE 2018 ANCHOR_POINTS.pdf,2018 ANCHOR POINT SYNOPSIS.pdf,,,,,
Southeast,Compton & 103rd,"33.94322697627809, -118.24623221511379",Intersection/small businesses,CVS; Food $ Less; mini mall w/ misc. other businesses ,,,,need to check to see if in laser zone or not ,6/26/17,,Yes,2018,"""this severely chronic location is described as a mini mall that includes multiple businesses. This location continues to be plagued with store thefts that escalate to ESTES robberies. Additionally, there have been multiple arests for agg. assaults & gun possessions"". ",,,,,, Lopez,,1826,,,doc titled 2018 AP synopsis but info within it is from 06/2017,SOE 2018 ANCHOR_POINTS.pdf,2018 ANCHOR POINT SYNOPSIS.pdf,,,,,
Southeast,San Pedro St & Manchester Av; 256 Manchester Avenue,"33.96013543731904, -118.26957386536291",Intersection/gas station,Chevron & Numero Uno Market,,,S/E/C,NO,6/26/2018,,New ,2018,"""increase in vilent crimes, esp. street robberies being committed by male, blacs and hispanic mostly using vehicles to flee the scene. some suspects & most of the victims are dymally high school students. other crimes includes estes robberies and thefts at Numero Uno Market & Chevron Gas",,,,,,Chavez,,1803,,,,SOE 2018 ANCHOR_POINTS.pdf,2018 ANCHOR POINT SYNOPSIS.pdf,,,,,
Foothill,8651 Foothill Blvd,"34.260238512637436, -118.32146700741932",Public,Sunland Park,Score: 100,T,1,,7/11/18,,,8/2018; 11/30/18,YTD 11/30/18: Part 1 Crm = 7 Part 2 Crm = 4 Arrests = 9,112,,,,,,,1617,,,16,Area 16,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,8133 Vineland Ave,"34.21804149178146, -118.37151670347377",Public,Sun Valley Park,Score: 100,M,1,,7/11/18,,,8/2018; 11/30/18,YTD 11/30/18: Part 1 Crm = 5 Part 2 Crm = 2 Arrests = 3,60,,,,,,,1687,,,15,Area 16,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,7843 Lankershim Blvd.,"34.21368111971649, -118.38804687278137",Public,LA Family Housing Shelter,Score: 100,T,1,,7/11/18,,,8/2018; 11/30/18,YTD 11/30/18: Part 1 Crm = 4 Part 2 Crm = 5 Arrests = 1,42,,,,,,,1684,,,16,Area 16,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,10736 Laurel Canyon Blvd,"34.265511579907674, -118.43843824208794",Public,Richie Valens Park,Score: 100,T,1,,7/11/18,,,8/2018; 11/30/18,YTD 11/30/18: Part 1 Crm = 0 Part 2 Crm = 0 Arrests = 0,4,,,,,,,1621,,,16,Area 16,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,12765 Van Nuys Blvd,"34.275355686526424, -118.4122994709242",Business,Food 4 Less ,Score: 100,T,1,,7/11/18,,,8/2018; 11/30/18,YTD 11/30/18: Part 1 Crm = 14 Part 2 Crm = 2 Arrests = 1,24,,,,,,,1602,,,16,Area 16,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,8501 Laurel Cyn Blvd,"34.22467367046674, -118.39753785929095",Business,Canyon Plaza,proposed,,,,,,,11/30/18,PART I CRM = 24; PART 2 CRM = 1; arrests = 20; YTD 11/30/18,104,,,,,,,1682,,,,,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,9725 Laurel Cyn Blvd,"34.24521542326096, -118.41940297278076",Business,Target,proposed,,,,,,,11/30/18,PART I CRM = 21 PART 2 CRM = 9 ARREST = 4; YTD 11/30/18,59,,,,,,,1651,,,,,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,9727 Laurel Cyn Blvd,"34.24556160530733, -118.42024551089668",Business, Ross Dress for Less,proposed,,,,,,,11/30/18,PART I CRM =7  PART 2 CRM = 3 ARREST = 2; YTD 11/30/18,20,,,,,,,1651,,,,,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,13500 Paxton St,"34.2732946605509, -118.42463651114572",Business,Pacoima Plaza,proposed,,,,,,,11/30/18,PART I CRM = 26 PART 2 CRM = 10 ARREST = 17; YTD 11/30/18,110,,,,,,,1623,,,,,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,12765 Van Nuys Blvd,"34.275275895434255, -118.4122994709242",Business,Food4Less,proposed,,,,,,,11/30/18,PART I CRM = 14 PART 2 CRM = 2 ARREST = 1; YTD 11/30/18,24,,,,,,,1602,,,,,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,11798 Foothill Blvd,"34.27125628735435, -118.38972741510713",Public,Hansen Dam,proposed,,,,,,,11/30/18,PART I CRM = 18 PART 2 CRM = 8 ARREST = 5; YTD 11/30/18,83,,,,,,,1655,,,,,,,FTHL - AP - Crm Arst CFS YTD 113018 (B).pdf,,,
Foothill,12000 FOOTHILL BL,"34.27636721737548, -118.3982363592897",Residential,WILLOW TREE APT,proposed,,,,,,,11/30/18,,,,,,,,,RD 1633,,,,,,,FTHL AP B(2).pdf,,,
Foothill,12700 VAN NUYS BL,"34.27494286079316, -118.40859199765536",Residential,PIERCE PRK APT,proposed,,,,,,,11/30/18,,,,,,,,,RD 1613,,,,,,,FTHL AP B(2).pdf,,,
Foothill,11201 PENDLETON ST,"34.23710991386888, -118.37535811510774",Public,PICK YOUR PART (AUTO DISM),proposed,,,,,,,11/30/18,,,,,,,,,RD 1664,,,,,,,FTHL AP B(2).pdf,,,
Newton,4300 S Central Ave,"34.00516675188207, -118.25564137307757",business,Dollar Tree,,,,yes,,,,,,,,,,,,,,,,,,,,Anchor Point 5 SARA Project Chronological Log,,,
Rampart,500ft by 500ft Grids,,whole communities ,see pic in column x,,,,need to check to see if in laser zone or not ,,01/01/15 - 09/30/16),,,,979,,,,,,,,,,,the time periods provided are for CFS; no date provided as to when these areas were anchor points,RMP_AnchorPoints grid map.pdf,,,,,
Rampart,500ft by 500ft Grids,,whole communities ,see pic in column x,,,,need to check to see if in laser zone or not ,,01/01/15 - 09/30/16),,,,1330,,,,,,,,,,,the time periods provided are for CFS; no date provided as to when these areas were anchor points,RMP_AnchorPoints grid map.pdf,,,,,
Rampart,500ft by 500ft Grids,,whole communities ,see pic in column x,,,,need to check to see if in laser zone or not ,,01/01/15 - 09/30/16),,,,1134,,,,,,,,,,,the time periods provided are for CFS; no date provided as to when these areas were anchor points,RMP_AnchorPoints grid map.pdf,,,,,
Rampart,500ft by 500ft Grids,,whole communities ,see pic in column x,,,,need to check to see if in laser zone or not ,,01/01/15 - 09/30/16),,,,994,,,,,,,,,,,the time periods provided are for CFS; no date provided as to when these areas were anchor points,RMP_AnchorPoints grid map.pdf,,,,,
Rampart,650 S Alvarado,"34.057465271943784, -118.27563920162117",business,99 cent store,Score: 55,M,1,need to check to see if in laser zone or not ,1/3/18,at least since 02/19/17-08/2018,,02/19/17 & 8/1/2018,,,,,,,Frank Garcia,,0,BLANK,L,2,Area 2,,LASER_AP_082018.dbf.pdf,Laser Zone Crime Information 05-13-17red.pdf,,,
Rampart,725 S Westlake,"34.05506902579515, -118.27649493045779",Residential,Olympic Hotel;  a multi-unit apartment building ,Score: 55,M,1,need to check to see if in laser zone or not ,1/3/18,at least since 02/19/17-08/2018,,02/19/17 & 8/1/2018,,,,,,,Susanne Gras,,0,BLANK,L,2,Area 2,CNAP case BC671451,LASER_AP_082018.dbf.pdf,Laser Zone Crime Information 05-13-17red.pdf,,,
Rampart,720 S Westlake,"34.05503151457391, -118.27570770162123",Residential,a multi-unit apartment building,Score: 55,M,1,need to check to see if in laser zone or not ,1/3/18,at least since 02/19/17-08/2018,,02/19/17 & 8/1/2018,,,,,,,Susanne Gras,,0,BLANK,R,2,Area 2,,LASER_AP_082018.dbf.pdf,Laser Zone Crime Information 05-13-17red.pdf,,,
Rampart,760 S Alvarado,"34.05485465860748, -118.27753080162121",business,Ocean Liquor ,Score: 55,M,1,need to check to see if in laser zone or not ,1/3/18,at least since 02/19/17-08/2018,,02/19/17 & 8/1/2018,,,,,,,Susanne Gras,,0,BLANK,L,2,Area 2,,LASER_AP_082018.dbf.pdf,Laser Zone Crime Information 05-13-17red.pdf,,,
77th,Florence & Figueroa,"33.974545,-118.2850257",intersection,,,,,,need to check to see if in laser zone or not,,2016-2017,,,,,,,,,,,,,,,,,,77th AP 2016-2017 Pt 1 Crimes,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
77th,505 W. FLORENCE AVE,"33.9748895,-118.2852045",Business,MCDONALDS,,Score: 100,M,1,need to check to see if in laser zone or not,7/2/2018,at least since 2016,Yes,2016; 8/1/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,12,Area 12,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in,LASER_AP_082018.dbf.pdf,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
77th,7205 S Figueroa St,"33.9744493,-118.2855242",Florence & Figueroa,,,,,,need to check to see if in laser zone or not,,2016-2017,,,,,,,,,,,,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
77th,5800 S. VERMONT AVE,"33.9895074,-118.2933083",Business,EL POLLO LOCO AND BANK OF AMERICA,,Score: 100,T,1,need to check to see if in laser zone or not,7/2/2018,,,08/2018,BUS BENCH AND PARKING LOT,,,,,,,,0,,L,12,Area 12,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in,LASER_AP_082018.dbf.pdf,,
77th,1600 W. SLAUSON AVE,"33.9886594,-118.3076733",Business,SWAP MEET,,Score: 100,T,1,need to check to see if in laser zone or not,7/2/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,12,Area 12,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in,LASER_AP_082018.dbf.pdf,,
77th,5804 S. CRENSHAW BLVD,"33.9885393,-118.3323798",Business,ARCO GAS STATION,,Score: 82,M,1,need to check to see if in laser zone or not,7/2/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,12,Area 12,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in,LASER_AP_082018.dbf.pdf,,
77th,7130 S. CRENSHAW BLVD,"33.9749072,-118.3327222",Business,MOBILE GAS STATION,,Score: 82,M,1,need to check to see if in laser zone or not,7/2/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,12,Area 12,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in,LASER_AP_082018.dbf.pdf,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,,
77th,South Vermont Avenue and West Slauson Avenue,"33.9891297,-118.2936807",intersection,"intersection has multiple fast food restaurants (McDonald’s, Taco Bell, El Pollo Loco etc.) and grocery stores.",,,,,need to check to see if in laser zone or not,,01/01/16-12/31/16,,,,42,,28,3370,0.80%,Robert Canizales (12SL15) and Agustin Lopez (12SL39),,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,,
77th,5760 crenshaw blvd,"33.9893412,-118.3326314",business,US Bank Branch,,,,,,,,,,,,,,,,,,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
77th,Slauson & Western,"33.9891458,-118.3095077",intersection,,Tiff,,,,,,,,,,,,,,,,,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
77th,1815 W. Slauson,"33.9894201,-118.3103033",business,Big Lots,,,,,,,,,,,,,,,,,,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
77th,58th & Western,"33.9897132,-118.3095051",intersection,,,,,,,,,,,,,,,,,,,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
77th,Florence & Crenshaw,"33.974356,-118.3305719",intersection & business,Mobil Gas Station,,,,,,,,,,,,,,,,,,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
77th,Florence & Figueroa,"33.974545,-118.2850257",intersection & business,mcdonalds (same as 505 w florence),,,,,,,,,,,,,,,,,,,,,,,,,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,77TH AP 2016 – 2017 Pt 1 Crimes.pdf,
